OMNIvalue,k
265,73.79
109,78.93
99,81.42
77,84.27
87,80.17
106,75.25
189,81.26
201,73.7
315,71.14
443,71.77
284,75.28
192,73.87
88,77.62
90,76.67
104,73.33
96,75.06
75,74.53
49,74.78
235,77.7
173,76.96
340,76.44
660,72.12
368,75.29
418,70.54
473,76.43
295,85.01
295,67.57
653,79.52
883,73.37
651,67.8
462,78.49
456,66.48
844,74.47
801,69.8
707,71.21
535,76.14
822,73.72
546,72.78
317,74.77
189,75.72
406,72.07
457,72.57
235,74.44
368,78.89
98,69.79
114,70.46
64,70.61
46,79.74
107,69.96
56,71.36
173,80.14
211,70.21
76,80.93
50,74.92
64,70.58
64,74.5
74,68.88
167,73.19
278,76.13
455,75.49
258,74.77
602,74.2
488,76.47
208,75.07
181,72.88
426,76.49
159,80.99
107,83.37
352,70.0
346,70.17
222,83.48
305,75.17
487,78.39
500,75.0
213,71.31
340,72.59
665,76.19
518,72.86
358,75.12
347,76.32
472,72.64
765,74.92
636,73.01
682,74.33
851,70.2
618,74.16
352,72.19
363,73.2
287,71.47
291,69.44
581,67.47
406,76.85
523,82.18
494,71.67
257,80.76
578,72.04
549,70.64
622,79.68
647,70.72
395,77.37
590,74.68
989,76.89
760,74.7
985,74.24
696,71.37
717,68.08
758,71.76
586,77.58
602,75.55
384,78.42
532,67.96
485,70.83
411,78.35
754,69.4
754,76.51
767,69.7
839,77.71
706,72.92
586,70.5
443,77.69
210,74.43
490,75.94
557,75.81
281,74.32
506,72.99
481,73.69
484,75.15
607,73.13
209,74.33
317,73.06
860,68.22
644,75.62
405,76.23
522,75.56
434,73.22
397,70.03
498,70.76
729,76.39
603,69.83
527,72.09
598,71.75
689,71.11
664,77.12
475,71.09
252,76.35
237,74.28
179,69.14
354,72.92
782,74.73
703,73.17
548,75.91
522,72.64
545,73.81
345,75.19
310,75.4
248,77.08
230,74.45
398,75.41
429,76.89
365,80.35
135,76.22
202,82.72
245,76.7
514,70.79
749,76.82
804,71.14
482,69.82
74,74.51
39,76.93
137,69.3
386,72.42
552,74.54
545,72.13
638,74.58
871,67.71
536,78.43
412,68.0
489,73.8
760,76.89
878,71.83
513,74.69
549,73.58
